username,followers,following,posts,bio,has_profile_photo,account_age_days,is_verified,has_external_url,label
user38291,12,892,0,,0,3,0,0,1
priya_sharma,1523,487,89,Photographer from Mumbai | Travel addict 🌏,1,1095,0,1,0
john_doe_9382,5,2301,1,,0,7,0,0,1
ananya.design,8924,612,342,UI/UX Designer at TCS | Ahmedabad,1,1825,0,1,0
bot_account_12345,0,5000,0,,0,1,0,0,1
rajesh_kumar_official,2341,189,156,Software Engineer | Cricket lover 🏏,1,730,0,0,0
sexy_girl_follow_me,23,4521,2,follow me for follow back,0,14,0,0,1
neha_patel_ahmedabad,987,234,67,CA Student | Navrangpura,1,548,0,0,0
randomletters_xyzabc,1,1200,0,,0,2,0,0,1
tech_with_nana,45230,123,890,DevOps tutorials | AWS & K8s,1,2190,1,1,0
customer_support_387,8,0,0,DM for customer support,0,5,0,0,1
meera.arts,4567,890,234,Mandala artist 🎨 Workshops in Gujarat,1,912,0,1,0
verify_your_account,0,3400,0,Verify your account now!,0,1,0,1,1
foodie_ahmedabad,12345,567,456,Best food spots in Ahmedabad 🍔,1,1460,0,1,0
win_free_iphone_now,3,8900,1,FREE iPhone giveaway click link!,0,4,0,1,1
dr_patel_cardiology,3456,234,78,Cardiologist at AIMS Hospital | Health tips,1,1095,1,1,0
earn_money_online_2024,15,6700,3,Earn 50K daily from home,0,10,0,1,1
travel_with_divya,5678,1234,345,Solo traveler | 30 countries ✈️,1,2555,0,1,0
account_recover_help,2,4500,0,Account recovery service,0,3,0,0,1
fitness_guru_amit,23456,890,567,Certified trainer | Transformation coach,1,1825,0,1,0
lucky_draw_winner_x,0,7800,0,You won! DM to claim,0,1,0,0,1
coding_with_ravi,8900,456,234,Full-stack dev tutorials | React & Node,1,1460,0,1,0
hotgirl_followme_xx,7,5600,1,,0,6,0,0,1
chai_point_official,15678,234,189,Best chai in Gujarat ☕ Since 2010,1,3650,1,1,0
verify_bank_details,1,2300,0,Bank verification service,0,2,0,1,1
shreya_music,34567,1567,678,Classical singer | Concerts & workshops,1,2190,0,1,0
investment_guru_max,45,9100,4,10x returns guaranteed!,0,15,0,1,1
iit_bombay_alumni,6789,890,123,IIT Bombay '18 | Product Manager,1,2555,0,0,0
crypto_millionaire_now,8,7800,2,Made 1Cr in crypto - you can too,0,8,0,1,1
ahmedabad_police,45678,89,234,Official account Ahmedabad City Police,1,3650,1,1,0
